objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,IMG_3188.JPG,,,Bohol 2020,Cherry Medina,2020,Photos during our bohol trip ,Small boat anchoring,"Panglao, Bohol",9.574572515,123.763196,Family archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,IMG_3189.JPG,,,Bohol 2021,Cherry Medina,2020,Photos during our bohol trip ,Small boat anchoring,"Panglao, Bohol",9.574572515,123.763196,Family archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,IMG_3190.JPG,,,Bohol 2022,Cherry Medina,2020,Photos during our bohol trip ,Small boat anchoring,"Panglao, Bohol",9.574572515,123.763196,Family archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,IMG_3191.JPG,,,Bohol 2023,Cherry Medina,2020,Photos during our bohol trip ,Small boat anchoring,"Panglao, Bohol",9.574572515,123.763196,Family archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,IMG_3192.JPG,,,Bohol 2024,Cherry Medina,2020,Photos during our bohol trip ,Small boat anchoring,"Panglao, Bohol",9.574572515,123.763196,Family archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,IMG_3193.JPG,,,Bohol 2025,Cherry Medina,2020,Photos during our bohol trip ,Small boat anchoring,"Panglao, Bohol",9.574572515,123.763196,Family archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,IMG_3194.JPG,,,Bohol 2026,Cherry Medina,2020,Photos during our bohol trip ,Small boat anchoring,"Panglao, Bohol",9.574572515,123.763196,Family archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,IMG_3195.JPG,,,Bohol 2027,Cherry Medina,2020,Photos during our bohol trip ,Small boat anchoring,"Panglao, Bohol",9.574572515,123.763196,Family archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,IMG_3196.JPG,,,Bohol 2028,Cherry Medina,2020,Photos during our bohol trip ,Small boat anchoring,"Panglao, Bohol",9.574572515,123.763196,Family archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,IMG_3197.JPG,,,Bohol 2029,Cherry Medina,2020,Photos during our bohol trip ,Small boat anchoring,"Panglao, Bohol",9.574572515,123.763196,Family archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,IMG_3215.JPG,,,Bohol 2030,Cherry Medina,2020,Photos during our bohol trip ,Small boat anchoring,"Panglao, Bohol",9.574572515,123.763196,Family archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,IMG_3399.JPG,,,Bohol 2031,Cherry Medina,2020,Photos during our bohol trip ,Small boat anchoring,"Panglao, Bohol",9.574572515,123.763196,Family archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,IMG_3332.JPG,,,Bohol 2032,Cherry Medina,2020,Photos during our bohol trip ,Small boat anchoring,"Panglao, Bohol",9.574572515,123.763196,Family archives,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
